x,y,z,pressure,cp,lift,drag
2.52239,-4.49979,0.940455,7327.48,-5.29557,557.359,26.4531
2.52094,-4.27954,0.88075,11120.5,-5.07883,2454.82,64.2916
2.51672,-3.64037,0.70748,13333.6,-4.95236,4572,80.8463
2.51047,-2.64485,0.448417,14448.2,-4.88868,6198.56,84.8342
2.50365,-1.39046,0.16028,14984.6,-4.85803,6991.14,89.4388
2.5,-2.75546e-16,0,14984.6,-4.85803,6991.14,89.4388
2.50365,1.39046,0.16028,14448.2,-4.88868,6198.56,84.8342
2.51047,2.64485,0.448417,13333.6,-4.95236,4572,80.8463
2.51672,3.64037,0.707481,11120.5,-5.07883,2454.82,64.2916
2.52094,4.27954,0.880751,7327.48,-5.29557,557.359,26.4531
2.52239,4.49979,0.940456,,,,
2.85572,-4.49979,0.94051,2287.28,-5.58358,173.98,9.85443
2.85427,-4.27954,0.880802,4059.57,-5.48231,896.136,32.6346
2.85006,-3.64037,0.707522,5184.88,-5.41801,1777.85,39.2097
2.84381,-2.64485,0.448447,5707.5,-5.38814,2448.63,38.6888
2.83698,-1.39046,0.160301,5920.88,-5.37595,2762.42,40.1752
2.83333,-2.75546e-16,0,5920.88,-5.37595,2762.42,40.1752
2.83698,1.39046,0.160301,5707.5,-5.38814,2448.63,38.6888
2.84381,2.64485,0.448448,5184.88,-5.41801,1777.85,39.2097
2.85006,3.64037,0.707523,4059.57,-5.48231,896.136,32.6346
2.85427,4.27954,0.880802,2287.28,-5.58358,173.98,9.85443
2.85572,4.49979,0.94051,,,,
3.18906,-4.49979,0.9404,1071.17,-5.65308,81.4767,4.79855
3.18761,-4.27954,0.880698,1900.88,-5.60566,419.61,17.5275
3.18339,-3.64037,0.707437,2524.33,-5.57004,865.566,21.9791
3.17714,-2.64485,0.448386,2819.24,-5.55319,1209.51,21.2338
3.17032,-1.39046,0.160259,2933.72,-5.54664,1368.74,21.7583
3.16667,-2.75546e-16,0,2933.72,-5.54664,1368.74,21.7583
3.17032,1.39046,0.16026,2819.24,-5.55319,1209.51,21.2338
3.17714,2.64485,0.448387,2524.33,-5.57004,865.566,21.9791
3.18339,3.64037,0.707438,1900.88,-5.60566,419.61,17.5275
3.18761,4.27954,0.880699,1071.17,-5.65308,81.4767,4.79855
3.18906,4.49979,0.940401,,,,
3.52239,-4.49979,0.94029,,,,
3.52094,-4.27954,0.880595,,,,
3.51672,-3.64037,0.707353,,,,
3.51047,-2.64485,0.448325,,,,
3.50365,-1.39046,0.160218,,,,
3.5,-2.75546e-16,0,,,,
3.50365,1.39046,0.160218,,,,
3.51047,2.64485,0.448326,,,,
3.51672,3.64037,0.707353,,,,
3.52094,4.27954,0.880596,,,,
3.52239,4.49979,0.940291,,,,
